External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-37281/3,469.5,,953,A12001 - Inventory (New),08/30/2025,HOME2 SOMERSET,3526,37281/3,HOME2 SOMERSET - Aug  material cost transferred from sps,,631.21
AUGCOGS-37304/3,474,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37304/3,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,20.83,
AUGCOGS-37304/3,474.5,,953,A12001 - Inventory (New),08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37304/3,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,,20.83
AUGCOGS-37304/4,475,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37304/4,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,178.24,
AUGCOGS-37304/4,475.5,,953,A12001 - Inventory (New),08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37304/4,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,,178.24
AUGCOGS-37311/5,476,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37311/5,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,2127.82,
AUGCOGS-37311/5,476.5,,953,A12001 - Inventory (New),08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37311/5,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,,2127.82
AUGCOGS-37478/4,484,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Best Western Premiere / Colorado Hospitality,3548,37478/4,Best Western Premiere / Colorado Hospitality - Aug  material cost transferred from sps,675.00,
AUGCOGS-37478/4,484.5,,953,A12001 - Inventory (New),08/30/2025,Best Western Premiere / Colorado Hospitality,3548,37478/4,Best Western Premiere / Colorado Hospitality - Aug  material cost transferred from sps,,675.00
AUGCOGS-37598/7,485,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Fairfield Inn - Indianapolis,3549,37598/7,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,2674.63,
AUGCOGS-37598/7,485.5,,953,A12001 - Inventory (New),08/30/2025,Fairfield Inn - Indianapolis,3549,37598/7,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,,2674.63
AUGCOGS-37599/5,486,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Fairfield Inn - Indianapolis,3549,37599/5,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,257.20,
AUGCOGS-37599/5,486.5,,953,A12001 - Inventory (New),08/30/2025,Fairfield Inn - Indianapolis,3549,37599/5,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,,257.20
AUGCOGS-37606/14,487,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Fairfield Inn - Indianapolis,3549,37606/14,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,918.79,
AUGCOGS-37606/14,487.5,,953,A12001 - Inventory (New),08/30/2025,Fairfield Inn - Indianapolis,3549,37606/14,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,,918.79
AUGCOGS-37608/3,488,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Fairfield Inn - Indianapolis,3549,37608/3,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,2300.23,
AUGCOGS-37608/3,488.5,,953,A12001 - Inventory (New),08/30/2025,Fairfield Inn - Indianapolis,3549,37608/3,Fairfield Inn - Indianapolis - Aug  material cost transferred from sps,,2300.23
AUGCOGS-37611/5,489,A50001 - Cost Of Goods Sold (New),977,,08/30/2025,Wingate by Wyndham Pueblo CO.,2491,37611/5,Wingate by Wyndham Pueblo CO. - Aug  material cost transferred from sps,111.39,
